koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.796941,2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kemanggisan Arah Utara,Jalan Letnan Jenderal Siswondo Parman,-6.189906
106.823649,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Jati Barat,Jalan Buncit Raya,-6.290967
106.859202,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Utara,Jalan Danau Sunter Utara,-6.139776
106.797259,2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kemanggisan Arah Selatan,Jalan S Parman,-6.189781
106.868051,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Stasiun Jatinegara,Jalan Bekasi Barat Raya,-6.215601
106.898656,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Stasiun Klender,Jalan I Gusti Ngurah Rai,-6.213532
106.858139,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Stasiun Tebet,Jalan K. Haji Abdul Syafi'ie,-6.225503
106.811648,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Transjakarta Tanah Abang 2,Jalan Jatibaru Raya,-6.183885
106.796954,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Ps. Palmerah,Jalan Tentara Pelajar,-6.207817
106.85099,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Plaza St. Manggarai,Jalan Manggarai Utara I,-6.210225
106.79706,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,St. Palmerah,Jalan Tentara Pelajar,-6.208908
106.74786,2024,Kota Adm. Jakarta Selatan,Pesanggrahan,Pesanggrahan,Petukangan Utara,Jalan Ciledug Raya,-6.236466
106.873775,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pisangan,Jalan Ahmad Yani,-6.205526
106.830391,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Ancol,Jalan Karang Bolong Hailai,-6.127563
106.888799,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Kelapa Gading,Perintis Kemerdekaan,Jalan Perintis Kemerdekaan,-6.171797
106.840232,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Senen Raya,Jalan Haji Imam Sapi'ie,-6.176251
106.826456,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Balai Kota,Jalan Medan Merdeka Selatan,-6.180488
106.803472,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Bandengan,Jalan Bandengan Selatan,-6.136318
106.99167,2024,Kota Bekasi,Bekasi Barat,Rawa Panjang,Bekasi Barat,Jalan Ahmad Yani,-6.250045
106.801751,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Blok M,Jalan Palatehan,-6.243312
106.898594,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Kelapa Gading,Bermis,Jalan Perintis Kemerdekaan,-6.178203
106.867208,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Bidara Cina,Jalan Otto Iskandar Dinata,-6.229724
106.869998,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,Cawang Cililitan,Jalan Mayor Jenderal Sutoyo,-6.257751
106.798972,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,ASEAN,Jalan Trunojoyo,-6.239889
106.87318,2024,Kota Adm. Jakarta Timur,Jatinegara,Cawang,BNN,Jalan Letnan Jenderal MT Haryono,-6.24651
106.917684,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Buaran,Jalan I Gusti Ngurah Rai,-6.215132
106.839063,2024,Kota Adm. Jakarta Pusat,Kemayoran,Sawah Besar,Lapangan Banteng,Jalan Gunung Sahari Raya,-6.166063
106.830293,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Buncit Indah,Jalan Buncit Raya,-6.274333
106.798444,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Kejaksaan Agung,Jalan Panglima Polim Raya,-6.2405
106.798447,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Masjid Agung,Jalan Sisingamangaraja,-6.236483
106.942312,2024,Kota Adm. Jakarta Timur,Cakung,Kayu Tinggi,Cakung Cilincing,Jalan Bekasi Raya,-6.184223
106.92998,2024,Kota Adm. Jakarta Timur,Cakung,Cakung Barat,Cakung United Tractors,Jalan Raya Bekasi,-6.18324
106.81354,2024,Kota Adm. Jakarta Selatan,Setiabudi,Kebayoran Baru,Semanggi,Jalan Gatot Subroto,-6.22111
106.868763,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Cawang Baru,Jalan Otto Iskandar Dinata,-6.243607
106.875983,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Simpang Cawang,Jalan Cawang Underpass,-6.244771
106.873603,2024,Kota Adm. Jakarta Timur,Kramat Jati,Makasar,Cawang Sentral,Jalan Mayor Jenderal Sutoyo,-6.250309
106.709039,2024,Kota Tangerang,Ciledug,Karang Tengah,CBD Ciledug,Jalan Palem Ganda Asri,-6.223629
106.879198,2024,Kota Adm. Jakarta Utara,Kelapa Gading,Kelapa Gading,Simpang Cempaka,Jalan Yos Sudarso,-6.165888
106.876423,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Cempaka Putih,Cempaka Putih,Jalan Ahmad Yani,-6.174207
106.86659,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Cempaka Baru,Jalan Letnan Jenderal Suprapto,-6.170398
106.875911,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Cempaka Mas,Jalan Letnan Jenderal Suprapto,-6.166584
106.79989,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Petamburan,Jalan Gatot Subroto,-6.20203
106.874152,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Flyover Jatinegara,Jalan Ahmad Yani,-6.215139
106.889864,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Cipinang,Jalan I Gusti Ngurah Rai,-6.213664
106.876366,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Kebon Nanas,Jalan DI Panjaitan,-6.231659
106.765411,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Cipulir,Jalan Ciledug Raya,-6.237818
106.798434,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,CSW 1,Jalan Kyai Maja,-6.23994
106.858054,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Danau Agung,Jalan Danau Sunter Barat,-6.146869
106.833205,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Kuningan,Jalan Hajjah R. Rasuna Said,-6.228794
106.822125,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Simpang Ragunan Ar-Raudhah,Jalan RM Harsono,-6.294641
106.834717,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Pejambon,Jalan Abdulrahman Saleh,-6.173503
106.738097,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Pulo Nangka,Jalan Daan Mogot,-6.154634
106.800939,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Kebayoran Baru,Bundaran Senayan,Jalan Jenderal Sudirman,-6.227869
106.826972,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Duren Tiga,Jalan Mampang Prapatan Raya,-6.252377
106.768418,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Duri Kepa,Jalan Panjang Raya,-6.185266
106.892419,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Mambo,Jalan Enggano,-6.11015
106.81158,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Explorer Tanah Abang,Jalan Jatibaru,-6.184305
106.903063,2024,Kota Adm. Jakarta Timur,Duren Sawit,Klender,Klender,Jalan I Gusti Ngurah Rai,-6.213596
106.924383,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Simpang Buaran,Jalan I Gusti Ngurah Rai,-6.215982
106.8657,2024,Kota Adm. Jakarta Timur,Ciracas,Susukan,Flyover Raya Bogor,Jalan Supriyadi,-6.3065
106.854845,2024,Kota Adm. Jakarta Pusat,Johar Baru,Johar Baru,Galur,Jalan Letnan Jenderal Suprapto,-6.174388
106.830402,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Gambir,Jalan Medan Merdeka Timur,-6.174612
106.831062,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Gambir 2,Jalan Medan Merdeka Selatan,-6.178929
106.881164,2024,Kota Adm. Jakarta Timur,Makasar,Makasar,Makasar,Jalan Pondok Gede,-6.290154
106.863537,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Ciliwung Arah Timur,Jalan MT Haryono,-6.243012
106.863589,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cawang,Ciliwung Arah Barat,Jalan Letnan Jenderal MT Haryono,-6.243292
106.858144,2024,Kota Adm. Jakarta Selatan,Tebet,Pancoran,Cikoko Arah Timur,Jalan MT Haryono,-6.243028
106.858147,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Cikoko Arah Barat,Jalan Letnan Jenderal MT Haryono,-6.243359
106.805957,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Gedong Panjang,Jalan Gedong Panjang,-6.132617
106.867954,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Gelanggang Remaja,Jalan Otto Iskandar Dinata,-6.235445
106.805795,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Senayan Bank DKI,Jalan Jenderal Sudirman,-6.224217
